i,Process10,Process20,Process30
1419,28,42,63
1420,28,42,63
1421,28,42,63
1422,28,42,63
1423,28,42,63
1424,28,42,63
1425,28,42,63
1426,28,42,63
1427,28,42,63
1428,28,42,63
1429,28,42,63
1430,28,42,63
1431,28,42,63
1432,28,42,64
1433,28,42,64
1434,28,42,64
1435,28,42,64
1436,28,42,64
1437,28,42,64
1438,28,42,64
1439,28,44,64
1440,28,44,64
1441,28,44,64
1442,28,44,64
1443,28,44,64
1444,28,44,64
1445,28,44,65
1446,28,44,65
1447,28,44,65
1448,28,44,65
1449,28,44,65
1450,28,44,65
1451,28,44,65
1452,28,44,65
1453,28,44,65
1454,28,44,65
1455,28,44,65
1456,28,44,65
1457,28,44,65
1458,28,44,65
1459,28,44,66
1460,28,44,66
1461,28,44,66
1462,28,44,66
1463,28,44,66
1464,28,44,66
1465,28,44,66
1466,28,44,66
1467,28,44,66
1468,28,44,66
1469,28,44,66
1470,28,44,66
1471,28,44,66
1472,28,44,66
1473,28,44,66
1474,28,44,66
1475,28,44,66
1476,28,44,66
1477,28,44,66
1478,28,44,66
1479,28,44,66
1480,28,44,68
1481,28,44,68
1482,28,44,68
1483,28,44,68
1484,28,44,68
1485,28,44,68
1486,28,44,68
1487,28,44,68
1488,28,44,68
1489,28,44,68
1490,28,44,68
1491,28,44,68
1492,28,44,68
1493,28,44,68
1494,29,44,68
1495,29,44,68
1496,29,44,68
1497,29,44,68
1498,29,44,68
1499,29,44,68
1500,29,46,68
1501,29,46,68
1502,29,46,68
1503,29,46,68
1504,29,46,68
1505,29,46,68
1506,29,46,68
1507,29,46,68
1508,29,46,68
1509,29,46,68
1510,29,46,68
1511,29,46,68
1512,29,46,68
1513,29,46,68
1514,30,46,68
1515,30,46,68
1516,30,46,68
1517,30,46,68
1518,30,46,68
1519,30,46,68
1520,30,46,68
1521,30,46,68
1522,30,46,68
1523,30,46,68
1524,30,46,68
1525,30,46,68
1526,30,46,68
1527,30,46,68
1528,30,47,68
1529,30,47,68
1530,30,47,68
1531,30,47,68
1532,30,47,68
1533,30,47,68
1534,30,47,68
